stove_details_name,details_manu,details_web,stove_desc,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_dur_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_dimensions,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iso_eff_val,iso_eff_sd,iso_eff_num,iso_eff_date,iso_eff_fuel,iso_safe_val,iso_safe_sd,iso_safe_num,iso_safe_date,iso_safe_fuel,iso_dur_val,iso_dur_sd,iso_dur_num,iso_dur_date,iso_dur_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel
Mwoto TLUD,Awamu Biomass Energy Ltd (ABE),http://www.awamu.ug/,The Mwoto TLUD cookstove was developed within the ‘Promoting Improved Top-Lit Updraft (TLUD) Cookstoves in Uganda” project by CREEC. It is a TLUD made entirely from steel. Its fuel chamber can hold up to 2100g of dry eucalyptus wood. It has 3 metallic pot stands and can be handled using the two metallic handles on the outer cylinder.For more information: http://www.mwotostove.com/,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,nan,,14.0-14.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Isleña,Locally manufactured,nan,"An easy-to-handle and efficient oven. It operates by enclosing the fire in an L-shaped combustion chamber with a short chimney or duct that transfers the heat from the combustion chamber to the cooking surface, thus reducing emissions of greenhouse gases and ensuring the delivery of maximum heat to the cooking surface.",Not Available,Not Available,Not Available,Not Available,Not Available,,,Round bottom,,nan,,nan,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
SolSource,One Earth Designs,http://www.oneearthdesigns.org/,"SolSource harnesses solar energy at high efficiency to power zero-emissions cooking. It reaches 550F within minutes on a sunny day and operates well in sunny to mildly cloudy conditions. Does not operate in very cloudy or nighttime conditions. System is designed to be wind-sturdy and robust. It also flat packs for easy storage or transport. Cooking interface provides comfortable cooking experience and protects users eyes from UV radiation. Reflector is robust to abrasion and exhibits a 1% decline in performance over 10 years of accelerated weather testing. Specially designed covers and high-performance solar cookware are available as part of the product line, but aren't required for operation.",Not Available,Not Available,Not Available,Not Available,Not Available,,10,Flat bottom,15,nan-12.0,"Boiling, steaming, stewing, grilling, searing, stir-frying. Baking and smoking require special cooking utensils on this stove. Deep frying requires add-on panel kit.",299,,18,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
STARIC One Pot Rocket Stove,Locally manufactured,nan,STARIC ONE POT ROCKET STOVE is a rocket principle based stove. The combustion chamber of stove is in accordance to the dimension specified by Aprovecho Research Center. These stoves are efficient with respect to fuel consumption and overall performance. It produces low emission and contributes in environment and natural resource conservation.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,,1.0-5.0,,nan,380.0/380.0/450.0,,380.0/380.0/450.0,Ceramic combustion Chamber and Insulation Bricks,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Fortune Cooker,The Fortune Cooker Sustainable Energies,http://www.thefortunecooker.com/,"Zero emissions. Solar Cooker and hybrid Solar/Induction Cooker (patent applied for) using energy harvesting/conserving solar coooking pots and solar potlids of greenhouse type, made of stainless steel with proprietary spectrally selective coatings. Cooker range from 1 pot to 3 pots. Multipot designs for institutions. Safe designs, no burns, no tipping over, no blinding of cooks, no emissions of any kind, long life, suitable for earning of emission avoidance credits.",Not Available,Not Available,Not Available,Not Available,Not Available,,21,Both,12,1.0-12.0,"Rice, stews,meats, fish, eggs, cakes, bread, teas, potatoes, beans, lentils",50.0-150.0,600.0/300.0/200.0,12,600.0/300.0/200.0,"Wood planks or Plywood, Glass Mirrors, screws, hinges.",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
DK-T5,"Population, Environment and Development Center (PED)",nan,"DK-T5* stoves have been researched and designed by MSc. Do Duc Khoi – Director of Population, Environment and Development Center (PED). It has been developed base on newest scientific methods, habit and experience cooking of rural people. The DK-T5* designed by the principle hybrid of combustion and gasification. Without the use of fans, no electricity, easy to use. The fuel is: firewood, rice husk, rice straw, peanut shell, corncob, shavings, sawdust, coconut, palm; etc. Produces 0.4- 0.5kg biochar after each time. Biochar can be used for improve the quality of soil in composting with manure, organic fertilizer. Hybrid stove DK-T5* have the same structure: Body of the stoves includes three chambers with cylindrical shape, which creates three chambers: 1) Combustion chamber- inner; 2) Biochar making chamber, and 3) Thermal insulated and air supplement chamber. Hybrid stove DK-T5* produced by industrial machinery, the main parts are manufactured from stainless steel, high quality. Hybrid stove DK-T5* not only cooking but also make biochar with high quality from any kind of biomass.",Not Available,Not Available,Not Available,Not Available,Not Available,,1,Both,10,3.0-6.0,any,20.0-30.0,330.0/330.0/400.0,5.5,330.0/330.0/400.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Foladi Duo,My Afghan Mountains,http://www.myafghanmountains.org/,"The Foladi Duo locally, appropriate and innovative design, promoted the development and implementation of sustainable, locally-produced, clean technology. Foladi Duo improve, indoor air quality, individual health, and the livelihoods of women and children. The trainings in distribution of cookstoves also promote self-reliance, local sustainability, and reduce the negative environmental, impacts of deforestation for firewood collection.",Not Available,Not Available,Not Available,Not Available,Not Available,,2,,20,1.0-10.0,"Afghan traditional bread, fry food, boiled food",80.0-100.0,,10,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
MBS 9,MBS Serbia,http://www.mbs.rs/,"Our company has existed since 1923, and exports to 45 countries worldwide.",Not Available,Not Available,Not Available,Not Available,Not Available,,15,Both,40,1.0-12.0,Any kind on on plate or inside oven,nan,945.0/600.0/740.0,70,945.0/600.0/740.0,"Iron, cast iron, ceramics, plastics...85",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Inclined Box Type Solar Cooker,Locally manufactured,nan,"The key feature of the new box type cooker is that it is designed to tilt towards the sun so that direct radiation is perpendicularly accessible to increase solar irradiance on the cooker face. Two foldable mirror reflectors are conveniently attached at both longer sides of the cooker at an angle of 115 degree with cooker face to boost the heat collection. The new cooker allows the user to cook more meals as the cooker still works when the sun is somewhat low in the sky. During use, the cooker is to be placed facing the sun keeping longer side vertically inclined position and this inclination can easily be changed with respect to the ground by adjustable stand attached at the backside of the cooker box. During reorientation of the cooker, apart from changing of inclination of cooker box, the whole cooker can be rotated in the ground at desire position by the help of caster wheels attached to the bottom, but the position of reflectors remain unchanged throughout the working period. In the cooker, four black painted aluminium cooking pots are used and are placed side by side at the longer side of the cooker on tilting cooking trays.",Not Available,Not Available,Not Available,Not Available,Not Available,,5,Flat bottom,2,2.0-3.0,Boiled food,30.0-40.0,900.0/400.0/400.0,10,900.0/400.0/400.0,"M.S sheet, aluminium sheet, glass, mirror, M.S pipes etc",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Agni Star Rice Husk Gas Stove,Navdurga Metal Industries (NDMI-Bharat),http://ndmi.co.in,"Agni Star is a batch-type, portable, forced draft, single burner & TLUD (Top-lift Updraft Gasifier) stove. Rice husks are the primary fuel used. It is a second generation domestic stove technology that converts agro-waste (rice husks) into gaseous fuel for domestic cooking. Consumes only 600 grams of rice husk and produce efficient Flames 40-45 minutes of cooking.",Not Available,Not Available,Not Available,Not Available,Not Available,,,Both,8,3.0-8.0,"Rice, pulses, chapatis, veg",110.0-120.0,300.0/300.0/500.0,10.3,300.0/300.0/500.0,"Fabricated Body parts ,Electronic Spares ,DC-Fan & packaging Materials",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Moto Safi BG-02C,Consumer's Choice Limited,http://www.consumerschoice.kbo.co.ke,"Moto Safi - BG-02C double burner LPG stove. Is a high quality LPG double burner stove, is a basic model targeted at consumers climbing the cooking energy ladder from kerosene or ethanol fueled stoves to LPG stoves. It is durable, easy to use and comes with protective cover. It is also quite portable. Features: Good performance with fully adjustable burners, Manual ignition system, Emameled stove grate & burners for easy cleaning, CE Approved",Not Available,Not Available,Not Available,Not Available,Not Available,,8,Flat bottom,10,1.0-10.0,Any type of food cooked in a flat bottomed pot,27.6-34.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Moto Safi BG-04C,Consumer's Choice Limited,http://www.consumerschoice.kbo.co.ke,"Moto Safi - BG-04C 4 burner LPG stove. Is a high quality LPG double burner stove, is a basic model targeted at consumers climbing the cooking energy ladder from kerosene or ethanol fueled stoves to LPG stoves. It is durable, easy to use and comes with protective cover. It is also quite portable. This is ideal for a large family of between 8 - 10 Features: Goood performance with fully adjustable burners Manual ignition system Emameled stove grate & burners for easy cleaning CE Approved",Not Available,Not Available,Not Available,Not Available,Not Available,,8,Flat bottom,10,1.0-15.0,all types of food cooked on flat bottomed pot.,45.0-55.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Super Saver Griddle (HM-4000),Envirofit International,http://www.envirofit.org/,The SuperSaver Griddle is a versatile modern cooking appliance. Quickly boil water or cook tortillas on the griddle surface indoors in a smoke-free kitchen.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Flat bottom,,nan-20.0,,nan,989.0/640.0/787.0,26,989.0/640.0/787.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Plancha Mejorada/Chefina,Rural World Resources International,http://rwri.webs.com/,"Built-in stove made from bricks, cement blocks, and clay, with a metal top and metal chimney. Uses mainly wood but can use other types of biomass. It requires a high investment of participation by the recipients in labor and training activities.",Not Available,Not Available,Not Available,Not Available,Not Available,,10,Flat bottom,20,6.0-10.0,"Corn, beans, soups,",150.0-175.0,750.0/800.0/1400.0,225,750.0/800.0/1400.0,"Clay bricks, concrete block, clay, metal top, metal chimney, metal door, cement, sand, clay.",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Green Wood Fired Cook Stove,Locally manufactured,nan,"In the wood fired cook stove, primary air enters throughout air entry ports provided in lower circumferential wall of combustion chamber. Primary air is preheated when it comes in contact with lower circumferential wall of the combustion chamber. A fuel feed opening is located above the rows of air entry ports of the combustion chamber wall. A sliding cover plate is provided with fuel feed opening. A fuel rest plate is provided at the bottom of the combustion chamber on which wood sticks are placed in inclined position. Both primary and secondary air is entered from the annular air space provided in between combustion chamber and surrounded large cylindrical cover at the lower portion of the stove. Secondary air is preheated in annular air passage surrounding the combustion chamber wall and mixed with effluent gas through upper perforated wall of the combustion chamber. In the stove, one end of the fuel rest plate is hinged with the lower part of combustion chamber wall and the other end is arranged with a hinged lock clip fitted with outer wall of large diameter portion of the stove. By opening of the lock clip, one end of the rest plate is dropped down to clear the charcoal particles and ash from the stove.",Not Available,Not Available,Not Available,Not Available,Not Available,,2,Both,20,2.0-3.0,All types,20.0-25.0,300.0/300.0/300.0,1,300.0/300.0/300.0,M.S sheet of different gauges,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Supreme Stove,Jaan Pakistan,http://www.jaanpak.com/,An firewood and dung cakes stove that has been designed specifically for the needs of households in Pakistan.,Not Available,Not Available,Not Available,Not Available,Not Available,,3,Flat bottom,20,2.0-20.0,"Roti, Curry, Rice",20.0-30.0,300.0/300.0/200.0,6,300.0/300.0/200.0,"16 Gauge Steel Sheet 3"" Tin Pipes",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
"Berkeley-Darfur Stove ""Cool Mesh""",Shri Hari Industries,http://www.shrihariindustries.com/,"The Berkeley-Darfur Stove is an advanced, high quality, metal (steel), fuel-efficient wood burning stove. It is mass-produced through high quality control procedures during manufacture and assembly. These measures are taken to keep costs down and to maintain optimal stove dimensions. As a result, this stove is believed to perform more consistently, transfer heat more efficiently and have a longer product life than the much cheaper improved mud stoves that dominate the fuel-efficient stove (FES) market in Darfur. The stove is fueled by firewood, the most traditional and common cooking fuel in Darfur, but it can also use wood scraps and twigs. Based on feedback from women in Darfur, the original stove Berkeley-Darfur Stove design was modified to be incased in a mesh to make the stove more attractive after use and to prevent burns. Slight modifications, such as a change in pot rod positioning have been made to accommodate Ethiopian pots and coffee roasting pans.",Not Available,Not Available,Not Available,Not Available,Not Available,,5,Round bottom,15,4.0-8.0,"porridge, sauces, coffee, tea",18.0-35.0,813.0/432.0/305.0,5,813.0/432.0/305.0,"stainless steel, wood, cast iron, mild steel",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Bondhu Chula,,,"BCSIR initially design the Stove, latter on GIZ Bangladesh has modified. The stove is currently made of Cement and popular in Bangladesh. For details please visit the Bondhu Chula site: http://www.bondhuchula.org; http://www.giz.de/en/downloads/giz2012-en-cooking-stoves-bangladesh.pdf",Not Available,Not Available,Not Available,Not Available,Not Available,,,,,nan,,12.0-15.0,,,,"Cement, bricks, sand",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Hoodstove,,,A complete-package of specifically designed smoke-hood and an improved biomass stove to tackle both issues of inefficient use of biomass fuel and high levels of harmful emissions.,Not Available,Not Available,Not Available,Not Available,Not Available,,10,Both,,nan,,76.0-0.0,,12,,"GI sheet, mud mortar",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
HOLY COOK,Man and Man Enterprise,http://www.manandmanenterprise.getafricaonline.com/home,‘Holy Cook’ charcoal stoves of the improved Kenyan Jiko-Type in three different sizes. It has a heat insulating ceramic liner.,Not Available,Not Available,Not Available,Not Available,Not Available,,,Flat bottom,,5.0-10.0,"all the local foods in Ghana which includes Fufu, Soup and Banku",nan,,,,"the stoves is manufactured from local raw material such as metal sheet, cement, paint and ceramic liner",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Global Sun Oven,Sun Ovens International Inc.,http://www.sunoven.com/,"SUN OVENS INTERNATIONAL has taken a concept that has been around for generations, combined it with the most effective materials available, a design with features that take the hassles out of solar cooking, to create the Ultimate Solar Appliance. Innovative Features: One piece collapsible reflectors The SUN OVEN ® can be set up for use or taken down for storage in a matter of seconds. The reflectors literally fall into place at an angle that allows you to maximize the power of the sun. The reflectors are made of highly polished, mirror-like anodized aluminum that can be cleaned quickly and easily with glass cleaner, and they will never oxidize or rust. Spill-proof levelator There is never any need to worry about your food spilling in a SUN OVEN ®. While cooking, your food rests on a shelf that self adjusts to always stay level as you refocus. Easy temperature monitoring A built in thermometer allows you know the temperature at a glance. Self-contained leveling leg As the sun is at different points on the horizon the SUN OVEN ® can readily be adjusted to follow it. A simple adjusting leg allows you to choose from 9 angled positions. Extremely well insulated A thick batt of non-toxic insulation retains heat. Food cooked in the sun and left in the oven will remain hot for hours. Cold air is held out allowing the SUN OVEN ® to be used on sunny days year around regardless of the ambient temperature. Light weight, easy to carry The SUN OVEN ® weighs only 21 pounds (9.5 kg), folds up like a suitcase and is equipped with a handle for easy transport.",Not Available,Not Available,Not Available,Not Available,Not Available,,,Both,10,1.0-8.0,"Any foods which are baked, boiled or steamed",180.0-300.0,584.0/482.0/391.0,9.5,584.0/482.0/391.0,Parts and tooling are required for assembly,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Aleva 14,Locally manufactured,nan,"Our stoves are ready to fight against deforestation starting in Malawi and then later in surrounding countries. We aim to replace the traditional 3-stone system with an efficient modern stove. The 3-stone needs 2 kgs of firewood, the Aleva-stove only needs 200 g to boil 2 liters of water to cook nsima. For more information, visit: http://alevastoves.com/",Not Available,Not Available,Not Available,Not Available,Not Available,,,,,nan,,nan,,32,,"3 concrete moulds, tools and Equipment for compressing, straining equipment, worktable 100 cm x 50 cm, hut 3 m x 2 m with selfsystem",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Kolamba Solar Cooker,Heliso AS,http://heliso.com/,"A lightweight, low-cost solar cooker designed for developing countries. No emissions. Great safety for children. No risk of getting burnt. No plastic bag is needed. No moving parts. Can cook 7 hours a day. The solar cooker is adjusted only every 90 min by adjusting it using the solar indicator. The solar cooker will normally not need to be adjusted during cooking. Kolamba Solar Cooker is capable of bringing 4 liters of water to a boil within 4 hours or 0,5 liters of water within 25 minutes. For shipping the six-folded bottom plate will fold into a super strong triangular shaped form, measuring only 80x80x570mm. It means 10 000 units can be shipped in one container. For more information see http://heliso.com",Not Available,Not Available,Not Available,Not Available,Not Available,,3,Both,4,3.0-6.0,"Rice, soup, beans, fish, meat, vegetables.",10.0-20.0,900.0/900.0/550.0,2,900.0/900.0/550.0,"MetPet, Metal",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
